date,day_of_experiment,observer,core_id,rc_id_2,plant_id,treatment,co2_flux_raw,co2_flux_avg,functional_type,percent_cover,total_increment_root_biomass,total_root_biomass,shrub_ratio,graminoid_ratio,shrub_biomass_percent,graminoid_biomass_percent,shrub_biomass,graminoid_biomass,thin_white_branched,thin_white_unbranched,thick_white_branched,thick_white_unbranched,thin_beige_branched,thin_beige_unbranched,thick_beige_branched,thick_beige_unbranched,thin_brown_branched,thin_brown_unbranched,thick_brown_branched,thick_brown_unbranched,thin_black_branched,thin_black_unbranched,thick_black_branched,thick_black_unbranched
4/29/2025,19,Juliana,NA,NA,1,extended,,,graminoid,0.06,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2025,19,Juliana,NA,NA,1,extended,,,shrub,0,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2025,19,Juliana,NA,NA,1,extended,,,forb,0,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2025,19,Juliana,NA,NA,1,extended,,,bryophyte,0.1,,,,,,,,,,,,,,,,,,,,,,,,
5/6/2025,26,Juliana,rc.1,NA,1,extended,,,graminoid,0.06,,,,,,,,,,,,,,,,,,,,,,,,
5/6/2025,26,Juliana,rc.1,NA,1,extended,,,shrub,0,,,,,,,,,,,,,,,,,,,,,,,,
5/6/2025,26,Juliana,rc.1,NA,1,extended,,,forb,0.1,,,,,,,,,,,,,,,,,,,,,,,,
5/6/2025,26,Juliana,rc.1,NA,1,extended,,,bryophyte,0.15,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2025,33,Juliana,NA,NA,1,extended,,,graminoid,0.08,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2025,33,Juliana,NA,NA,1,extended,,,shrub,0.03,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2025,33,Juliana,NA,NA,1,extended,,,forb,0.03,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2025,33,Juliana,NA,NA,1,extended,,,bryophyte,0.17,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2025,41,Juliana,rc.2,NA,1,extended,,,graminoid,0.1,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2025,41,Juliana,rc.2,NA,1,extended,,,shrub,0.08,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2025,41,Juliana,rc.2,NA,1,extended,,,forb,0.05,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2025,41,Juliana,rc.2,NA,1,extended,,,bryophyte,0.18,,,,,,,,,,,,,,,,,,,,,,,,
5/28/2025,48,Juliana,NA,NA,1,extended,,,graminoid,0.12,,,,,,,,,,,,,,,,,,,,,,,,
5/28/2025,48,Juliana,NA,NA,1,extended,,,shrub,0.18,,,,,,,,,,,,,,,,,,,,,,,,
5/28/2025,48,Juliana,NA,NA,1,extended,,,forb,0.1,,,,,,,,,,,,,,,,,,,,,,,,
5/28/2025,48,Juliana,NA,NA,1,extended,,,bryophyte,0.2,,,,,,,,,,,,,,,,,,,,,,,,
6/4/2025,55,Juliana,NA,NA,1,extended,,,graminoid,0.2,,,,,,,,,,,,,,,,,,,,,,,,
6/4/2025,55,Juliana,NA,NA,1,extended,,,shrub,0.2,,,,,,,,,,,,,,,,,,,,,,,,
6/4/2025,55,Juliana,NA,NA,1,extended,,,forb,0.12,,,,,,,,,,,,,,,,,,,,,,,,
6/4/2025,55,Juliana,NA,NA,1,extended,,,bryophyte,0.2,,,,,,,,,,,,,,,,,,,,,,,,
