<<<<<<< HEAD
date,day_of_experiment,observer,core_id,rc_id_2,plant_id,treatment,co2_flux_raw,co2_flux_avg,functional_type,percent_cover,total_increment_root_biomass,total_root_biomass,shrub_ratio,graminoid_ratio,shrub_biomass_percent,graminoid_biomass_percent,shrub_biomass,graminoid_biomass,thin_white_branched,thin_white_unbranched,thick_white_branched,thick_white_unbranched,thin_beige_branched,thin_beige_unbranched,thick_beige_branched,thick_beige_unbranched,thin_brown_branched,thin_brown_unbranched,thick_brown_branched,thick_brown_unbranched,thin_black_branched,thin_black_unbranched,thick_black_branched,thick_black_unbranched
04/29/2025,19,Juliana,NA,NA,1,extended,,,graminoid,0.06,,,,,,,,,,,,,,,,,,,,,,,,
04/29/2025,19,Juliana,NA,NA,1,extended,,,shrub,0,,,,,,,,,,,,,,,,,,,,,,,,
04/29/2025,19,Juliana,NA,NA,1,extended,,,forb,0,,,,,,,,,,,,,,,,,,,,,,,,
04/29/2025,19,Juliana,NA,NA,1,extended,,,bryophyte,0.1,,,,,,,,,,,,,,,,,,,,,,,,
05/06/2025,26,Juliana,rc.1,NA,1,extended,,,graminoid,0.06,,,,,,,,,,,,,,,,,,,,,,,,
05/06/2025,26,Juliana,rc.1,NA,1,extended,,,shrub,0,,,,,,,,,,,,,,,,,,,,,,,,
05/06/2025,26,Juliana,rc.1,NA,1,extended,,,forb,0.1,,,,,,,,,,,,,,,,,,,,,,,,
05/06/2025,26,Juliana,rc.1,NA,1,extended,,,bryophyte,0.15,,,,,,,,,,,,,,,,,,,,,,,,
05/13/2025,33,Juliana,NA,NA,1,extended,,,graminoid,0.08,,,,,,,,,,,,,,,,,,,,,,,,
05/13/2025,33,Juliana,NA,NA,1,extended,,,shrub,0.03,,,,,,,,,,,,,,,,,,,,,,,,
05/13/2025,33,Juliana,NA,NA,1,extended,,,forb,0.03,,,,,,,,,,,,,,,,,,,,,,,,
05/13/2025,33,Juliana,NA,NA,1,extended,,,bryophyte,0.17,,,,,,,,,,,,,,,,,,,,,,,,
05/21/2025,41,Juliana,rc.2,NA,1,extended,,,graminoid,0.1,,,,,,,,,,,,,,,,,,,,,,,,
05/21/2025,41,Juliana,rc.2,NA,1,extended,,,shrub,0.08,,,,,,,,,,,,,,,,,,,,,,,,
05/21/2025,41,Juliana,rc.2,NA,1,extended,,,forb,0.05,,,,,,,,,,,,,,,,,,,,,,,,
05/21/2025,41,Juliana,rc.2,NA,1,extended,,,bryophyte,0.18,,,,,,,,,,,,,,,,,,,,,,,,
05/28/2025,48,Juliana,NA,NA,1,extended,,,graminoid,0.12,,,,,,,,,,,,,,,,,,,,,,,,
05/28/2025,48,Juliana,NA,NA,1,extended,,,shrub,0.18,,,,,,,,,,,,,,,,,,,,,,,,
05/28/2025,48,Juliana,NA,NA,1,extended,,,forb,0.1,,,,,,,,,,,,,,,,,,,,,,,,
05/28/2025,48,Juliana,NA,NA,1,extended,,,bryophyte,0.2,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2025,55,Juliana,NA,NA,1,extended,,,graminoid,0.2,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2025,55,Juliana,NA,NA,1,extended,,,shrub,0.2,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2025,55,Juliana,NA,NA,1,extended,,,forb,0.12,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2025,55,Juliana,NA,NA,1,extended,,,bryophyte,0.2,,,,,,,,,,,,,,,,,,,,,,,,
06/11/2025,62,Juliana,rc.3,NA,1,extended,,,graminoid,0.22,,,,,,,,,,,,,,,,,,,,,,,,
06/11/2025,62,Juliana,rc.3,NA,1,extended,,,shrub,0.22,,,,,,,,,,,,,,,,,,,,,,,,
06/11/2025,62,Juliana,rc.3,NA,1,extended,,,forb,0.13,,,,,,,,,,,,,,,,,,,,,,,,
06/11/2025,62,Juliana,rc.3,NA,1,extended,,,bryophyte,0.12,,,,,,,,,,,,,,,,,,,,,,,,
06/18/2025,69,Juliana,NA,NA,1,extended,,,graminoid,0.25,,,,,,,,,,,,,,,,,,,,,,,,
06/18/2025,69,Juliana,NA,NA,1,extended,,,shrub,0.23,,,,,,,,,,,,,,,,,,,,,,,,
06/18/2025,69,Juliana,NA,NA,1,extended,,,forb,0.15,,,,,,,,,,,,,,,,,,,,,,,,
06/18/2025,69,Juliana,NA,NA,1,extended,,,bryophyte,0.1,,,,,,,,,,,,,,,,,,,,,,,,
06/25/2025,76,Juliana,rc.4,NA,1,extended,,,graminoid,0.27,,,,,,,,,,,,,,,,,,,,,,,,
06/25/2025,76,Juliana,rc.4,NA,1,extended,,,shrub,0.25,,,,,,,,,,,,,,,,,,,,,,,,
06/25/2025,76,Juliana,rc.4,NA,1,extended,,,forb,0.2,,,,,,,,,,,,,,,,,,,,,,,,
06/25/2025,76,Juliana,rc.4,NA,1,extended,,,bryophyte,0.08,,,,,,,,,,,,,,,,,,,,,,,,
07/02/2025,83,Juliana,NA,NA,1,extended,,,graminoid,0.27,,,,,,,,,,,,,,,,,,,,,,,,
07/02/2025,83,Juliana,NA,NA,1,extended,,,shrub,0.2,,,,,,,,,,,,,,,,,,,,,,,,
07/02/2025,83,Juliana,NA,NA,1,extended,,,forb,0.25,,,,,,,,,,,,,,,,,,,,,,,,
07/02/2025,83,Juliana,NA,NA,1,extended,,,bryophyte,0.05,,,,,,,,,,,,,,,,,,,,,,,,
07/10/2025,91,Juliana,rc.1.2,NA,1,extended,,,graminoid,0.32,,,,,,,,,,,,,,,,,,,,,,,,
07/10/2025,91,Juliana,rc.1.2,NA,1,extended,,,shrub,0.18,,,,,,,,,,,,,,,,,,,,,,,,
07/10/2025,91,Juliana,rc.1.2,NA,1,extended,,,forb,0.28,,,,,,,,,,,,,,,,,,,,,,,,
07/10/2025,91,Juliana,rc.1.2,NA,1,extended,,,bryophyte,0.02,,,,,,,,,,,,,,,,,,,,,,,,
07/16/2025,97,Juliana,NA,NA,1,extended,,,graminoid,0.35,,,,,,,,,,,,,,,,,,,,,,,,
07/16/2025,97,Juliana,NA,NA,1,extended,,,shrub,0.15,,,,,,,,,,,,,,,,,,,,,,,,
07/16/2025,97,Juliana,NA,NA,1,extended,,,forb,0.32,,,,,,,,,,,,,,,,,,,,,,,,
07/16/2025,97,Juliana,NA,NA,1,extended,,,bryophyte,0.01,,,,,,,,,,,,,,,,,,,,,,,,
07/23/2025,104,Juliana,rc.2.2,NA,1,extended,,,graminoid,0.37,,,,,,,,,,,,,,,,,,,,,,,,
07/23/2025,104,Juliana,rc.2.2,NA,1,extended,,,shrub,0.12,,,,,,,,,,,,,,,,,,,,,,,,
07/23/2025,104,Juliana,rc.2.2,NA,1,extended,,,forb,0.35,,,,,,,,,,,,,,,,,,,,,,,,
07/23/2025,104,Juliana,rc.2.2,NA,1,extended,,,bryophyte,0.01,,,,,,,,,,,,,,,,,,,,,,,,
07/30/2025,111,Juliana,NA,NA,1,extended,,,graminoid,0.4,,,,,,,,,,,,,,,,,,,,,,,,
